time [s],0.25,0.5,.75,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,7.5,10.0
12.5,-44,-57,-63,-63,-75,-74,-72,-71,-86,-79,-81,-76,-83,-89
13,-43,-56,-60,-78,-79,-64,-80,-54,-79,-98,-79,-79,-76,-103
13.5,-50,-57,-66,-78,-70,-70,-102,-80,-85,-72,-77,-81,-77,-85
14,-45,-59,-65,-65,-73,-73,-66,-68,-87,-75,-80,-83,-73,-83
14.5,-44,-64,-59,-68,-75,-70,-97,-79,-79,-75,-107,-83,-78,-97
15,-45,-60,-56,-69,-79,-67,-76,-74,-71,-74,-101,-79,-79,-102
15.5,-45,-38,-62,-63,-75,-70,-74,-72,-86,-77,-79,-81,-74,-84
16,-43,-59,-59,-70,-70,-66,-71,-74,-79,-82,-78,-78,-75,-85
16.5,-50,-57,-62,-70,-69,-71,-86,-70,-98,-73,-87,-72,-85,-100
17,-45,-58,-66,-66,-72,-69,-66,-70,-92,-78,-75,-78,-75,-89
17.5,-43,-59,-59,-67,-73,-70,-75,-79,-77,-76,-105,-75,-75,-105
18,-45,-61,-58,-68,-76,-70,-78,-75,-74,-85,-76,-75,-75,-90
18.5,-49,-57,-59,-65,-76,-84,-80,-71,-84,-75,-76,-77,-79,-83
19,-47,-60,-59,-66,-72,-68,-75,-78,-83,-81,-77,-76,-81,-83
19.5,-49,-55,-61,-76,-70,-71,-84,-72,-77,-74,-82,-73,-77,-103
20,-50,-57,-70,-65,-71,-71,-69,-63,-101,-77,-72,-78,-75,-83
20.5,-44,-57,-59,-65,-78,-70,-67,-68,-87,-81,-81,-77,-76,-81
21,-47,-58,-60,-82,-74,-69,-78,-75,-83,-74,-87,-73,-74,-88
21.5,-46,-59,-64,-68,-74,-69,-72,-72,-73,-84,-75,-79,-78,-87
22,-48,-66,-64,-71,-71,-72,-85,-57,-84,-79,-81,-76,-94,-104
22.5,-48,-60,-64,-75,-80,-68,-73,-75,-87,-71,-97,-71,-76,-97
23,-50,-62,-63,-64,-76,-73,-77,-72,-77,-76,-79,-89,-81,-92
23.5,-44,-61,-55,-68,-72,-69,-68,-70,-79,-78,-76,-80,-75,-99
24,-44,-58,-62,-75,-70,-76,-82,-78,-79,-73,-77,-74,-79,-84
24.5,-48,-62,-69,-75,-69,-81,-58,-75,-72,-85,-74,-87,-76,-87
25,-45,-68,-64,-85,-84,-72,-93,-79,-80,-75,-86,-79,-85,-89
25.5,-44,-64,-58,-68,-66,-70,-72,-81,-88,-45,-76,-74,-76,-106
26,-49,-64,-62,-67,-73,-78,-71,-73,-77,-76,-80,-71,-74,-88
26.5,-45,-61,-64,-65,-69,-69,-68,-76,-75,-82,-74,-79,-76,-84
27,-44,-61,-63,-92,-66,-73,-102,-70,-81,-81,-101,-76,-86,-84
27.5,-48,-63,-83,-71,-74,-93,-81,-82,-76,-83,-75,-77,-74,-105
28,-45,-61,-70,-78,-69,-71,-76,-78,-79,-78,-102,-77,-77,-91
28.5,-44,-58,-62,-69,-68,-71,-77,-83,-76,-79,-76,-77,-107,-81
29,-47,-57,-63,-66,-69,-71,-83,-70,-83,-72,-77,-75,-79,-91
29.5,-47,-57,-72,-65,-69,-72,-74,-73,-82,-80,-73,-76,-78,-84
30,-44,-56,-66,-66,-67,-69,-84,-77,-86,-93,-83,-77,-76,-98
30.5,-49,-58,-74,-74,-69,-82,-80,-79,-81,-74,-94,-81,-74,-98
31,-41,-59,-70,-83,-69,-85,-72,-71,-77,-83,-81,-87,-75,-82
31.5,-46,-62,-70,-67,-77,-72,-75,-81,-80,-76,-101,-75,-80,-78
32,-48,-56,-61,-68,-69,-72,-73,-79,-69,-103,-76,-72,-78,-101
32.5,-48,-60,-58,-68,-68,-83,-71,-74,-77,-81,-82,-76,-73,-104
33,-46,-58,-66,-64,-67,-68,-73,-78,-75,-78,-80,-79,-75,-98
33.5,-51,-58,-59,-71,-65,-101,-85,-76,-104,-73,-85,-84,-78,-86
34,-49,-59,-62,-73,-68,-84,-70,-69,-83,-77,-75,-81,-74,-108
34.5,-47,-63,-68,-67,-71,-80,-100,-81,-92,-72,-94,-84,-76,-86
35,-45,-59,-63,-67,-70,-71,-75,-74,-72,-74,-74,-73,-74,-93
35.5,-48,-58,-57,-74,-69,-75,-76,-72,-79,-74,-76,-91,-76,-94
36,-47,-60,-65,-64,-66,-69,-71,-79,-83,-80,-77,-74,-81,-84
36.5,-49,-58,-62,-63,-67,-76,-81,-70,-85,-74,-101,-73,-82,-85
37,-50,-56,-62,-67,-70,-79,-67,-73,-74,-75,-73,-79,-74,-92
37.5,-45,-56,-63,-64,-69,-73,-75,-76,-79,-104,-100,-73,-74,-81
38,-48,-64,-56,-64,-75,-72,-76,-82,-76,-74,-75,-77,-73,-85
38.5,-45,-60,-59,-72,-68,-72,-76,-72,-73,-84,-75,-101,-99,-89
39,-45,-62,-59,-66,-70,-80,-75,-84,-100,-82,-76,-76,-88,-89
39.5,-44,-56,-57,-65,-70,-72,-83,-74,-83,-73,-81,-72,-77,-91
40,-49,-55,-59,-68,-74,-106,-70,-73,-76,-71,-73,-83,-78,-81
